,0
0,Alaska
1,Arizona
2,California
3,Colorado
4,Connecticut
5,Delaware
6,Florida
7,Georgia
8,Hawaii
9,Illinois
10,Indiana
11,Kansas
12,Kentucky
13,Louisiana
14,Maryland
15,Massachusetts
16,Michigan
17,Minnesota
18,Mississippi
19,Missouri
20,Montana
21,Nebraska
22,Nevada
23,New Hampshire
24,New Jersey
25,New Mexico
26,New York
27,North Carolina
28,North Dakota
29,Oklahoma
30,Oregon
31,Pennsylvania
32,Rhode Island
33,South Carolina
34,South Dakota
35,Tennessee
36,Texas
37,Utah
38,Vermont
39,Virginia
40,Washington
41,West Virginia
42,Wisconsin
43,Wyoming
